DateTime,Type,Affiliate,Campaign ID,Link,Slider Amount,Cake Income,State,Phone,Lead ID,DBID,Page Origin,Thank u URL,CDB Status,CDB Email,Neustar,Neustar Disposition,Pixel Fired,Run Date,Step 1,Step 2,Step 3,Neustar Disposition,Pixel Fired,Run Date
12-05-2026 12:53:42,D,659,4071,Open Tracking,12000,10000,ME,207-234-3082,DCB87290,,View Page Origin,ViewThankURL,FALSE,Verified,pass,"N,U,U,L,0",TRUE,12-05-2026,Both IRS & Gujarat Tax Debt,"Less than $3,000",Maine,,,
12-05-2026 12:57:12,T,,,Open Tracking,12000,,,,26771067,,View Page Origin,ViewThankURL,FALSE,Verified,,,,12-05-2026,Both IRS & Gujarat Tax Debt,Both IRS & Gujarat Tax Debt,Both IRS & Gujarat Tax Debt,,,
12-05-2026 13:05:41,M,659,4071,Open Tracking,12000,10000,ME,207-234-3082,46CC1C97,,View Page Origin,ViewThankURL,FALSE,Verified,pass,"N,U,U,L,0",TRUE,12-05-2026,Both IRS & Gujarat Tax Debt,"Less than $3,000",Maine,,,
12-05-2026 13:20:38,D,659,4071,Open Tracking,12000,12000,ME,207-234-3082,31B40056,,View Page Origin,ViewThankURL,FALSE,Verified,pass,"N,U,U,L,0",TRUE,12-05-2026,Both IRS & Gujarat Tax Debt,"Less than $3,000",Maine,,,
12-05-2026 13:23:44,T,,,Open Tracking,12000,,,,26771086,,View Page Origin,ViewThankURL,FALSE,Verified,,,,12-05-2026,Both IRS & Gujarat Tax Debt,Both IRS & Gujarat Tax Debt,Both IRS & Gujarat Tax Debt,,,
12-05-2026 13:27:33,T,659,4071,Open Tracking,12000,12000,ME,207-234-3082,5708C7FF,,View Page Origin,ViewThankURL,FALSE,Verified,pass,"N,U,U,L,0",TRUE,12-05-2026,Both IRS & Gujarat Tax Debt,IRS Tax Debt,"Less than $3,000",,,
12-05-2026 13:54:00,M,659,4071,Open Tracking,12000,12000,ME,207-234-3082,92F2F650,,View Page Origin,ViewThankURL,FALSE,Verified,pass,"N,U,U,L,0",TRUE,12-05-2026,Both IRS & Gujarat Tax Debt,"Less than $3,000",Maine,,,
12-05-2026 14:08:19,D,659,4071,Open Tracking,12000,12000,ME,207-234-3082,593F401D,,View Page Origin,ViewThankURL,FALSE,Verified,pass,"N,U,U,L,0",TRUE,12-05-2026,Both IRS & Gujarat Tax Debt,"Less than $3,000",Maine,,,
12-05-2026 14:45:08,D-CHROMIUM,659,4071,Open Tracking,12000,12000,ME,207-234-3082,D9C3D25D,,View Page Origin,ViewThankURL,FALSE,Verified,pass,"N,U,U,L,0",TRUE,12-05-2026,Both IRS & Gujarat Tax Debt,"Less than $3,000",Maine,,,
12-05-2026 15:36:07,M-CHROMIUM,659,4071,Open Tracking,12000,12000,ME,207-234-3082,E750FFD4,,View Page Origin,ViewThankURL,FALSE,Verified,pass,"N,U,U,L,0",TRUE,12-05-2026,Both IRS & Gujarat Tax Debt,"Less than $3,000",Maine,,,
